,600820:207000,000541:89850,600256:13000,000027:30000,002939:500,601577:1000,601138:500,sh,total 
2018-05-07,7.01,8.29,4.31,5.67,9.09,11.51,19.83,3136.64,2448026.5
2018-05-04,6.94,8.01,4.21,5.65,9.09,11.51,19.83,3091.03,2406478.5
2018-05-03,7.0,8.04,4.23,5.64,9.09,11.51,19.83,3100.86,2421554.0
2018-05-02,7.01,8.04,4.09,5.63,9.09,11.51,19.83,3081.18,2421504.0
2018-04-27,6.98,8.11,4.02,5.66,9.09,11.51,19.83,3082.23,2421573.5
2018-04-26,6.93,8.13,4.0,5.58,9.09,11.51,19.83,3075.03,2410360.5
2018-04-25,6.97,8.16,4.06,5.65,9.09,11.51,19.83,3117.97,2424216.0
2018-04-24,6.98,8.19,4.08,5.67,9.09,11.51,19.83,3128.93,2429841.5
2018-04-23,6.86,8.11,4.01,5.62,9.09,11.51,19.83,3068.01,2395403.5
2018-04-20,6.88,8.19,4.05,5.62,9.09,11.51,19.83,3071.54,2407251.5
2018-04-19,7.03,8.34,4.15,5.73,9.09,11.51,19.83,3117.38,2456379.0
2018-04-18,7.02,8.32,4.2,5.75,9.09,11.51,19.83,3091.4,2453762.0
2018-04-17,6.99,8.31,4.13,5.69,9.09,11.51,19.83,3066.8,2443943.5
2018-04-16,7.07,8.33,4.11,5.79,9.09,11.51,19.83,3110.65,2465040.5
2018-04-13,7.13,8.5,4.18,5.88,9.09,11.51,19.83,3159.05,2496345.0
2018-04-12,7.18,8.46,4.2,5.91,9.09,11.51,19.83,3180.16,2504261.0
2018-04-11,7.22,8.52,4.2,6.02,9.09,11.51,19.83,3208.08,2521232.0
2018-04-10,7.19,8.56,4.03,6.1,9.09,11.51,19.83,3190.32,2518806.0
2018-04-09,7.1,8.51,4.03,5.93,9.09,11.51,19.83,3138.29,2490583.5
2018-04-04,7.11,8.54,4.03,5.78,9.09,11.51,19.83,3131.11,2490849.0
2018-04-03,7.11,8.55,4.03,5.89,9.09,11.51,19.83,3136.63,2495047.5
2018-04-02,7.29,8.66,4.03,5.88,9.09,11.51,19.83,3163.18,2541891.0
2018-03-30,7.25,8.66,4.03,5.84,9.09,11.51,19.83,3168.9,2532411.0
2018-03-29,7.24,8.63,4.03,5.8,9.09,11.51,19.83,3160.53,2526445.5
2018-03-28,7.15,8.53,4.03,5.71,9.09,11.51,19.83,3122.29,2496130.5
2018-03-27,7.16,8.6,4.03,5.74,9.09,11.51,19.83,3166.65,2505390.0
2018-03-26,7.08,8.42,4.03,5.7,9.09,11.51,19.83,3133.72,2471457.0
2018-03-23,7.1,8.32,4.03,5.64,9.09,11.51,19.83,3152.76,2464812.0
2018-03-22,7.49,8.64,4.03,5.85,9.09,11.51,19.83,3263.48,2580594.0
2018-03-21,7.51,8.62,4.03,5.87,9.09,11.51,19.83,3280.95,2583537.0
2018-03-20,7.48,8.66,4.03,5.88,9.09,11.51,19.83,3290.64,2581221.0
2018-03-19,7.53,8.75,4.19,5.96,9.09,11.51,19.83,3279.25,2604137.5
2018-03-16,7.61,8.72,4.22,5.9,9.09,11.51,19.83,3269.88,2616592.0
2018-03-15,7.65,8.79,4.28,5.91,9.09,11.51,19.83,3291.11,2632241.5
2018-03-14,7.66,8.85,4.43,5.88,9.09,11.51,19.83,3291.38,2640752.5
2018-03-13,7.74,8.88,4.54,5.91,9.09,11.51,19.83,3310.24,2662338.0
2018-03-12,7.8,8.96,4.5,5.92,9.09,11.51,19.83,3326.7,2681726.0
2018-03-09,7.72,8.92,4.49,5.92,9.09,11.51,19.83,3307.17,2661442.0
2018-03-08,7.66,8.83,4.4,5.99,9.09,11.51,19.83,3288.41,2641865.5
2018-03-07,7.65,8.83,4.4,5.88,9.09,11.51,19.83,3271.67,2636495.5
2018-03-06,7.69,8.91,4.48,5.99,9.09,11.51,19.83,3289.64,2656303.5
2018-03-05,7.62,8.75,4.45,5.7,9.09,11.51,19.83,3256.93,2618347.5
2018-03-02,7.65,8.73,4.43,5.67,9.09,11.51,19.83,3254.53,2621600.5
2018-03-01,7.69,8.8,4.46,5.67,9.09,11.51,19.83,3273.75,2636560.0
2018-02-28,7.6,8.78,4.44,5.65,9.09,11.51,19.83,3259.41,2615273.0
