,600820.SH:207000,000541.SZ:89850,600256.SH:13000,000027.SZ:30000,002939.SZ:500,601577.SH:1000,601138.SH:500,total 
20150918,11.39,9.99,6.78,9.56,9.09,11.51,19.83,3656241.5
20150917,10.94,10.05,6.87,9.26,9.09,11.51,19.83,3560652.5
20150916,10.98,11.17,7.18,9.17,9.09,11.51,19.83,3670894.5
20150915,9.98,10.43,6.72,8.34,9.09,11.51,19.83,3366525.5
20150914,11.07,11.59,7.0,9.26,9.09,11.51,19.83,3727621.5
20150911,12.3,12.88,6.94,10.2,9.09,11.51,19.83,4125558.0
20150910,11.18,12.63,7.0,9.96,9.09,11.51,19.83,3864835.5
20150909,11.42,11.48,7.14,10.3,9.09,11.51,19.83,3823208.0
20150908,10.81,11.48,6.95,9.81,9.09,11.51,19.83,3679768.0
20150907,9.83,11.48,6.8,9.42,9.09,11.51,19.83,3463258.0
20150902,9.35,11.48,6.95,9.78,9.09,11.51,19.83,3376648.0
20150901,9.95,11.48,7.02,10.74,9.09,11.51,19.83,3530558.0
20150831,11.05,11.48,7.07,10.37,9.09,11.51,19.83,3747808.0
20150828,11.26,11.48,6.96,9.43,9.09,11.51,19.83,3761648.0
20150827,10.24,11.48,6.33,8.57,9.09,11.51,19.83,3516518.0
20150826,9.31,11.48,6.08,8.2,9.09,11.51,19.83,3309658.0
20150825,10.34,11.57,6.75,9.07,9.09,11.51,19.83,3565764.5
20150824,11.49,12.65,7.5,10.08,9.09,11.51,19.83,3940902.5
20150821,12.77,14.06,8.33,11.2,9.09,11.51,19.83,4376941.0
20150820,13.88,15.6,8.24,11.7,9.09,11.51,19.83,4758910.0
20150819,15.17,15.07,8.61,12.78,9.09,11.51,19.83,5015529.5
20150818,14.55,13.7,8.57,12.55,9.09,11.51,19.83,4756675.0
20150817,16.17,15.2,9.52,13.94,9.09,11.51,19.83,5280840.0
20150814,16.08,14.7,9.14,13.12,9.09,11.51,19.83,5187745.0
20150813,16.4,13.97,8.9,13.5,9.09,11.51,19.83,5196674.5
20150812,15.8,13.35,8.74,12.42,9.09,11.51,19.83,4982287.5
20150811,15.74,13.8,9.01,12.02,9.09,11.51,19.83,5001810.0
20150810,15.85,13.3,8.89,11.97,9.09,11.51,19.83,4976595.0
20150807,14.41,12.8,8.53,11.24,9.09,11.51,19.83,4607010.0
20150806,14.18,12.66,8.32,10.94,9.09,11.51,19.83,4535091.0
20150805,14.48,12.17,8.34,10.9,9.09,11.51,19.83,4552224.5
20150804,13.54,11.06,8.59,10.89,9.09,11.51,19.83,4260861.0
20150803,12.31,10.05,8.22,9.9,9.09,11.51,19.83,3880992.5
20150731,13.3,10.69,8.18,10.88,9.09,11.51,19.83,4172306.5
20150730,14.22,10.51,8.26,11.25,9.09,11.51,19.83,4358713.5
20150729,13.95,11.15,8.6,11.11,9.09,11.51,19.83,4360547.5
20150728,12.82,10.47,8.26,10.2,9.09,11.51,19.83,4033819.5
20150727,12.44,10.35,8.51,10.4,9.09,11.51,19.83,3953627.5
20150724,13.57,11.5,9.11,11.55,9.09,11.51,19.83,4333165.0
20150723,13.4,11.35,9.25,11.7,9.09,11.51,19.83,4290817.5
20150722,12.71,10.82,9.13,11.04,9.09,11.51,19.83,4079007.0
20150721,12.39,10.97,8.86,10.04,9.09,11.51,19.83,3992734.5
20150720,12.27,10.97,8.85,10.02,9.09,11.51,19.83,3967164.5
20150717,11.15,11.1,8.97,10.03,9.09,11.51,19.83,3748865.0
20150716,10.41,10.4,8.52,9.48,9.09,11.51,19.83,3510440.0
20150715,10.17,9.98,8.51,9.14,9.09,11.51,19.83,3412693.0
20150714,11.45,11.09,9.2,10.15,9.09,11.51,19.83,3816656.5
20150713,10.8,10.86,8.36,9.34,9.09,11.51,19.83,3626221.0
20150710,9.82,9.87,8.36,8.49,9.09,11.51,19.83,3308909.5
20150709,8.93,8.97,8.36,7.72,9.09,11.51,19.83,3020714.5
20150708,8.12,8.15,8.36,7.02,9.09,11.51,19.83,2758367.5
20150707,9.02,8.09,7.6,7.8,9.09,11.51,19.83,2952796.5
20150706,10.02,8.99,8.44,8.51,9.09,11.51,19.83,3272881.5
20150703,10.77,8.89,8.41,9.01,9.09,11.51,19.83,3433756.5
20150702,11.88,9.65,9.34,10.01,9.09,11.51,19.83,3773902.5
20150701,12.75,10.7,9.92,11.12,9.09,11.51,19.83,4089175.0
20150630,13.44,11.47,10.4,12.35,9.09,11.51,19.83,4344329.5
20150629,12.42,11.02,9.93,12.07,9.09,11.51,19.83,4078247.0
20150626,13.8,12.24,10.11,13.41,9.09,11.51,19.83,4516064.0
20150625,15.33,13.6,11.2,14.9,9.09,11.51,19.83,5013840.0
20150624,16.39,14.62,11.98,24.12,9.09,11.51,19.83,5611647.0
20150623,15.42,14.59,11.52,23.52,9.09,11.51,19.83,5384181.5
20150619,15.71,14.63,11.19,22.47,9.09,11.51,19.83,5412015.5
20150618,17.45,16.25,12.36,24.61,9.09,11.51,19.83,5997162.5
20150617,18.29,17.48,13.13,24.66,9.09,11.51,19.83,6293068.0
20150616,18.17,17.01,12.34,22.42,9.09,11.51,19.83,6148528.500000001
20150615,19.83,18.35,12.03,24.57,9.09,11.51,19.83,6673017.5
20150612,20.87,19.46,12.46,25.8,9.09,11.51,19.83,7030521.0
20150611,20.11,23.98,12.58,25.77,9.09,11.51,19.83,7279983.0
20150610,20.17,22.9,12.88,26.4,9.09,11.51,19.83,7218165.0
20150609,19.83,22.4,12.43,25.03,9.09,11.51,19.83,7055909.999999999
20150608,19.57,22.17,12.43,24.93,9.09,11.51,19.83,6978424.5
20150605,19.85,22.73,12.43,23.98,9.09,11.51,19.83,7058200.5
20150604,19.37,21.25,12.43,24.38,9.09,11.51,19.83,6837862.5
20150603,20.14,21.05,12.43,23.72,9.09,11.51,19.83,6959482.5
20150602,20.88,21.69,12.43,23.1,9.09,11.51,19.83,7151566.5
20150601,21.71,21.0,12.43,21.0,9.09,11.51,19.83,7198380.0
20150529,21.77,20.45,12.43,19.1,9.09,11.51,19.83,7104382.5
20150528,19.98,19.91,12.43,18.7,9.09,11.51,19.83,6673333.5
20150527,20.87,22.12,12.43,20.75,9.09,11.51,19.83,7117632.0
20150526,18.97,20.7,12.43,19.5,9.09,11.51,19.83,6559245.0
20150525,18.64,19.0,11.3,19.26,9.09,11.51,19.83,6316300.0
20150522,17.61,17.39,10.87,18.14,9.09,11.51,19.83,5919241.5
20150521,16.01,17.38,10.21,16.49,9.09,11.51,19.83,5529063.0
20150520,15.81,17.14,10.14,15.95,9.09,11.51,19.83,5448989.0
20150519,15.85,17.22,10.13,15.29,9.09,11.51,19.83,5444527.0
20150518,15.26,16.79,9.88,14.77,9.09,11.51,19.83,5264911.5
20150515,15.55,16.01,10.0,14.86,9.09,11.51,19.83,5259118.5
20150514,16.02,16.26,10.25,15.42,9.09,11.51,19.83,5398921.0
20150513,16.38,16.17,10.19,15.28,9.09,11.51,19.83,5460374.5
20150512,15.16,16.43,10.34,15.05,9.09,11.51,19.83,5226245.5
20150511,13.79,15.99,10.37,14.97,9.09,11.51,19.83,4901111.5
20150508,13.37,15.58,10.21,13.69,9.09,11.51,19.83,4736853.0
20150507,13.17,14.93,9.98,13.35,9.09,11.51,19.83,4623860.5
20150506,13.27,15.24,10.78,14.16,9.09,11.51,19.83,4707114.0
20150505,13.74,15.51,10.67,14.82,9.09,11.51,19.83,4847033.5
20150504,14.67,16.15,10.81,15.18,9.09,11.51,19.83,5109667.5
20150430,14.21,16.4,10.58,14.58,9.09,11.51,19.83,5015920.0
20150429,13.98,15.63,10.72,14.68,9.09,11.51,19.83,4903945.5
20150428,13.86,14.9,10.52,14.7,9.09,11.51,19.83,4811515.0
20150427,14.75,15.25,11.21,15.27,9.09,11.51,19.83,5053262.5
20150424,14.74,15.42,10.99,15.08,9.09,11.51,19.83,5057907.0
20150423,15.14,14.66,11.11,15.05,9.09,11.51,19.83,5073081.0
20150422,15.03,14.78,11.36,15.27,9.09,11.51,19.83,5070943.0
20150421,14.59,14.25,11.26,14.61,9.09,11.51,19.83,4911142.5
20150420,14.41,13.8,11.22,14.15,9.09,11.51,19.83,4819130.0
20150417,13.9,14.52,10.79,14.65,9.09,11.51,19.83,4787662.0
20150416,13.79,14.79,10.15,14.53,9.09,11.51,19.83,4777231.5
20150415,13.73,14.72,9.85,14.31,9.09,11.51,19.83,4748022.0
20150414,14.39,15.3,10.23,15.11,9.09,11.51,19.83,4965695.0
20150413,14.33,15.18,10.18,15.1,9.09,11.51,19.83,4941543.0
20150410,13.64,14.91,9.88,15.03,9.09,11.51,19.83,4768453.5
20150409,12.4,14.71,9.74,14.59,9.09,11.51,19.83,4478783.5
20150408,12.24,15.14,10.09,14.44,9.09,11.51,19.83,4484349.0
20150407,11.79,15.05,10.11,14.74,9.09,11.51,19.83,4392372.5
20150403,11.36,15.27,9.99,14.71,9.09,11.51,19.83,4320669.5
20150402,11.29,15.27,10.05,13.75,9.09,11.51,19.83,4278159.5
20150401,11.32,15.27,9.99,13.5,9.09,11.51,19.83,4276089.5
20150331,11.11,15.27,9.8,13.43,9.09,11.51,19.83,4228049.5
20150330,11.24,15.27,10.12,13.23,9.09,11.51,19.83,4253119.5
20150327,10.22,15.27,9.68,12.99,9.09,11.51,19.83,4029059.5
20150326,10.19,14.58,9.47,12.7,9.09,11.51,19.83,3949423.0
20150325,9.83,13.25,9.28,12.22,9.09,11.51,19.83,3738532.5
20150324,9.78,13.43,9.4,12.35,9.09,11.51,19.83,3749815.5
20150323,10.05,13.77,9.55,12.61,9.09,11.51,19.83,3846004.5
20150320,10.02,13.5,9.35,12.4,9.09,11.51,19.83,3806635.0
20150319,10.14,13.36,9.46,11.87,9.09,11.51,19.83,3804426.0
20150318,9.91,13.58,9.19,11.52,9.09,11.51,19.83,3762573.0
20150317,9.85,13.49,9.13,11.22,9.09,11.51,19.83,3732286.5
20150316,9.89,13.62,9.05,11.17,9.09,11.51,19.83,3749707.0
20150313,9.48,12.89,8.93,10.84,9.09,11.51,19.83,3587786.5
20150312,9.49,12.37,8.84,10.76,9.09,11.51,19.83,3539564.5
20150311,9.19,12.54,8.82,10.68,9.09,11.51,19.83,3490079.0
20150310,9.3,12.78,8.97,10.55,9.09,11.51,19.83,3532463.0
20150309,9.16,12.57,9.04,10.4,9.09,11.51,19.83,3481024.5
20150306,9.03,12.63,8.79,10.25,9.09,11.51,19.83,3451755.5
20150305,8.39,12.99,8.98,10.37,9.09,11.51,19.83,3357691.5
20150304,8.47,12.4,8.85,10.59,9.09,11.51,19.83,3326150.0
20150303,8.46,11.6,8.46,10.53,9.09,11.51,19.83,3245330.0
20150302,8.73,11.76,8.69,10.8,9.09,11.51,19.83,3326686.0
20150227,8.69,11.44,8.55,10.75,9.09,11.51,19.83,3286334.0
20150226,8.79,11.52,8.61,10.75,9.09,11.51,19.83,3315002.0
20150225,8.6,11.26,8.46,10.62,9.09,11.51,19.83,3246461.0
20150217,8.57,11.19,8.38,10.49,9.09,11.51,19.83,3229021.5
20150216,8.14,11.25,8.38,10.41,9.09,11.51,19.83,3143002.5
20150213,8.05,10.87,8.25,10.28,9.09,11.51,19.83,3084639.5
20150212,8.02,10.74,8.17,10.22,9.09,11.51,19.83,3063909.0
20150211,7.78,10.69,8.19,10.11,9.09,11.51,19.83,3006696.5
20150210,7.82,10.58,8.17,10.15,9.09,11.51,19.83,3006033.0
20150209,7.65,10.47,8.12,9.61,9.09,11.51,19.83,2944109.5
20150206,7.63,10.67,8.16,9.53,9.09,11.51,19.83,2956059.5
20150205,7.83,10.99,8.23,9.99,9.09,11.51,19.83,3040921.5
20150204,8.0,10.9,8.46,10.24,9.09,11.51,19.83,3078515.0
20150203,7.87,11.06,8.6,10.41,9.09,11.51,19.83,3072901.0
20150202,7.77,10.66,8.46,10.27,9.09,11.51,19.83,3010241.0
20150130,7.91,10.71,8.43,10.71,9.09,11.51,19.83,3056523.5
20150129,8.17,10.99,8.41,11.04,9.09,11.51,19.83,3145141.5
20150128,8.3,11.24,8.57,10.89,9.09,11.51,19.83,3192094.0
20150127,8.26,11.21,8.68,10.9,9.09,11.51,19.83,3182848.5
20150126,8.33,11.27,8.68,10.95,9.09,11.51,19.83,3204229.5
20150123,7.84,10.97,8.6,10.57,9.09,11.51,19.83,3063404.5
20150122,7.92,10.85,8.47,10.66,9.09,11.51,19.83,3070192.5
20150121,7.82,10.73,8.44,10.49,9.09,11.51,19.83,3033220.5
20150120,7.52,10.52,8.32,10.08,9.09,11.51,19.83,2938392.0
20150119,7.27,10.29,8.2,9.86,9.09,11.51,19.83,2857816.5
20150116,8.02,10.87,8.76,10.95,9.09,11.51,19.83,3105159.5
20150115,7.9,10.53,8.71,10.93,9.09,11.51,19.83,3048520.5
20150114,7.63,10.54,8.56,10.59,9.09,11.51,19.83,2981379.0
20150113,7.77,10.51,8.7,10.59,9.09,11.51,19.83,3009483.5
20150112,7.72,10.33,8.46,10.6,9.09,11.51,19.83,2980140.5
20150109,8.1,10.54,8.53,10.98,9.09,11.51,19.83,3089979.0
20150108,8.32,10.55,8.69,11.38,9.09,11.51,19.83,3150497.5
20150107,8.65,10.62,8.71,11.86,9.09,11.51,19.83,3239757.0
20150106,8.41,10.69,8.75,11.4,9.09,11.51,19.83,3183086.5
20150105,8.42,10.42,8.87,11.38,9.09,11.51,19.83,3161857.0
20141231,8.26,10.21,8.36,11.16,9.09,11.51,19.83,3096638.5
20141230,8.24,10.19,8.3,11.07,9.09,11.51,19.83,3087221.5
20141229,8.51,10.49,8.46,11.13,9.09,11.51,19.83,3173946.5
20141226,8.39,10.07,8.37,11.39,9.09,11.51,19.83,3117999.5
20141225,8.43,10.05,8.31,10.89,9.09,11.51,19.83,3108702.5
20141224,7.91,10.03,8.2,10.52,9.09,11.51,19.83,2986735.5
20141223,7.92,9.9,8.09,10.6,9.09,11.51,19.83,2978095.0
20141222,8.31,9.94,8.48,11.63,9.09,11.51,19.83,3098389.0
20141219,9.04,10.43,8.38,11.61,9.09,11.51,19.83,3291625.5
20141218,8.49,10.71,8.42,11.64,9.09,11.51,19.83,3204353.5
20141217,8.34,10.72,8.36,11.86,9.09,11.51,19.83,3180022.0
20141216,8.18,10.99,8.61,11.76,9.09,11.51,19.83,3171411.5
20141215,8.38,11.09,8.73,11.71,9.09,11.51,19.83,3221856.5
20141212,7.91,11.1,8.68,10.88,9.09,11.51,19.83,3099915.0
20141211,7.29,11.01,8.51,11.11,9.09,11.51,19.83,2968178.5
20141210,7.32,10.82,8.54,10.59,9.09,11.51,19.83,2942107.0
20141209,6.92,10.52,8.29,9.95,9.09,11.51,19.83,2809902.0
20141208,7.19,10.7,8.35,10.63,9.09,11.51,19.83,2903145.0
20141205,6.76,10.6,8.21,10.28,9.09,11.51,19.83,2792830.0
20141204,7.05,10.98,8.53,9.99,9.09,11.51,19.83,2882463.0
20141203,6.77,10.81,8.18,9.08,9.09,11.51,19.83,2777378.5
20141202,6.72,10.44,7.97,9.02,9.09,11.51,19.83,2729254.0
20141201,6.66,10.35,7.81,8.89,9.09,11.51,19.83,2702767.5
20141128,6.78,10.48,7.93,8.72,9.09,11.51,19.83,2735748.0
20141127,6.75,10.55,8.08,8.7,9.09,11.51,19.83,2737177.5
20141126,6.76,10.58,8.04,8.65,9.09,11.51,19.83,2739923.0
20141125,6.85,10.67,8.07,8.61,9.09,11.51,19.83,2765829.5
20141124,6.6,10.4,7.99,8.5,9.09,11.51,19.83,2685480.0
20141121,6.39,10.33,7.86,8.31,9.09,11.51,19.83,2628330.5
20141120,6.37,10.29,7.74,8.1,9.09,11.51,19.83,2612736.5
20141119,6.32,10.2,7.75,8.1,9.09,11.51,19.83,2594430.0
20141118,6.34,10.24,7.77,7.97,9.09,11.51,19.83,2598524.0
20141117,6.36,10.16,7.8,8.03,9.09,11.51,19.83,2597666.0
20141114,6.28,10.56,7.73,7.93,9.09,11.51,19.83,2613136.0
20141113,6.3,10.63,7.89,8.16,9.09,11.51,19.83,2632545.5
20141112,6.53,10.79,8.03,8.49,9.09,11.51,19.83,2706251.5
20141111,6.39,10.69,7.91,8.2,9.09,11.51,19.83,2658026.5
20141110,6.68,11.0,8.2,8.65,9.09,11.51,19.83,2763180.0
20141107,6.62,11.0,7.97,8.58,9.09,11.51,19.83,2745670.0
20141106,6.77,11.23,8.07,8.2,9.09,11.51,19.83,2787285.5
20141105,6.69,10.99,8.13,8.27,9.09,11.51,19.83,2752041.5
20141104,6.84,10.86,7.91,7.52,9.09,11.51,19.83,2746051.0
20141103,6.62,11.08,8.09,7.23,9.09,11.51,19.83,2713918.0
20141031,6.65,11.03,8.14,7.26,9.09,11.51,19.83,2717185.5
20141030,6.87,11.12,7.97,7.23,9.09,11.51,19.83,2767702.0
20141029,6.73,11.12,7.97,7.13,9.09,11.51,19.83,2735722.0
20141028,6.7,11.03,7.92,6.9,9.09,11.51,19.83,2713875.5
20141027,6.43,10.72,7.7,6.73,9.09,11.51,19.83,2622172.0
20141024,6.53,10.59,7.81,6.71,9.09,11.51,19.83,2632021.5
20141023,6.24,10.7,7.96,6.7,9.09,11.51,19.83,2583525.0
20141022,6.15,11.1,8.23,6.81,9.09,11.51,19.83,2607645.0
20141021,6.06,11.3,8.27,6.93,9.09,11.51,19.83,2611105.0
20141020,6.13,11.17,8.19,6.88,9.09,11.51,19.83,2611374.5
20141017,6.07,11.1,8.11,6.82,9.09,11.51,19.83,2589825.0
20141016,6.17,11.3,8.26,7.01,9.09,11.51,19.83,2636145.0
20141015,6.1,11.6,8.41,7.05,9.09,11.51,19.83,2651760.0
20141014,6.0,11.52,8.44,7.09,9.09,11.51,19.83,2625462.0
20141013,6.06,11.54,8.57,7.1,9.09,11.51,19.83,2641669.0
20141010,6.06,11.67,8.79,7.13,9.09,11.51,19.83,2657109.5
20141009,6.14,11.91,8.83,7.2,9.09,11.51,19.83,2697853.5
20141008,6.16,12.06,8.81,7.21,9.09,11.51,19.83,2715511.0
20140930,6.1,11.99,8.81,7.17,9.09,11.51,19.83,2695601.5
20140929,6.13,11.89,8.67,7.18,9.09,11.51,19.83,2691306.5
20140926,6.03,11.82,8.69,7.2,9.09,11.51,19.83,2665177.0
20140925,6.0,11.99,8.74,7.16,9.09,11.51,19.83,2673691.5
20140924,6.05,12.15,8.82,7.09,9.09,11.51,19.83,2697357.5
20140923,6.01,11.5,8.56,7.03,9.09,11.51,19.83,2625495.0
20140922,6.01,11.4,8.52,6.85,9.09,11.51,19.83,2610590.0
20140919,5.94,11.84,8.56,6.82,9.09,11.51,19.83,2635254.0
20140918,5.95,11.63,8.54,6.76,9.09,11.51,19.83,2616395.5
20140917,5.93,11.68,8.51,6.73,9.09,11.51,19.83,2615458.0
20140916,5.96,11.59,8.54,6.73,9.09,11.51,19.83,2613971.5
20140915,6.06,12.35,8.88,6.94,9.09,11.51,19.83,2713677.5
20140912,6.09,12.27,8.8,6.9,9.09,11.51,19.83,2710459.5
20140911,6.05,12.35,8.77,6.84,9.09,11.51,19.83,2707177.5
20140910,6.03,12.78,8.98,6.89,9.09,11.51,19.83,2745903.0
20140909,5.98,13.24,9.06,6.75,9.09,11.51,19.83,2773724.0
20140905,6.03,12.6,8.97,6.72,9.09,11.51,19.83,2724500.0
20140904,5.96,12.59,9.07,6.7,9.09,11.51,19.83,2709811.5
20140903,5.94,12.58,9.08,6.7,9.09,11.51,19.83,2704903.0
20140902,5.94,12.98,9.08,6.67,9.09,11.51,19.83,2739943.0
20140901,5.98,12.28,8.79,6.58,9.09,11.51,19.83,2678858.0
20140829,5.44,12.0,8.86,6.5,9.09,11.51,19.83,2540430.0
20140828,5.38,11.3,8.98,6.42,9.09,11.51,19.83,2464275.0
20140827,5.5,11.17,8.16,6.4,9.09,11.51,19.83,2466174.5
20140826,5.52,11.28,7.86,6.39,9.09,11.51,19.83,2475998.0
20140825,5.67,10.85,8.07,6.57,9.09,11.51,19.83,2476542.5
20140822,5.72,10.66,8.28,6.58,9.09,11.51,19.83,2472851.0
20140821,5.54,10.66,8.23,6.54,9.09,11.51,19.83,2433741.0
20140820,5.6,10.63,8.07,6.55,9.09,11.51,19.83,2441685.5
20140819,5.58,10.79,8.06,6.67,9.09,11.51,19.83,2455391.5
20140818,5.6,10.75,8.08,6.7,9.09,11.51,19.83,2457097.5
20140815,5.46,10.82,8.01,6.56,9.09,11.51,19.83,2429297.0
20140814,5.44,10.65,7.97,6.44,9.09,11.51,19.83,2405762.5
20140813,5.5,10.9,8.13,6.58,9.09,11.51,19.83,2446925.0
20140812,5.51,10.41,8.12,6.27,9.09,11.51,19.83,2395538.5
20140811,5.57,10.47,7.97,6.25,9.09,11.51,19.83,2410799.5
20140808,5.49,10.48,7.88,6.16,9.09,11.51,19.83,2391268.0
20140807,5.49,10.33,7.71,6.2,9.09,11.51,19.83,2376780.5
20140806,5.66,10.13,7.78,6.21,9.09,11.51,19.83,2395210.5
20140805,5.77,9.55,7.9,6.12,9.09,11.51,19.83,2364727.5
20140804,6.03,9.33,7.83,6.12,9.09,11.51,19.83,2397870.5
20140801,5.56,9.22,7.66,6.04,9.09,11.51,19.83,2286087.0
20140731,5.05,9.38,7.81,6.15,9.09,11.51,19.83,2200143.0
20140730,5.03,9.22,7.78,6.12,9.09,11.51,19.83,2180337.0
20140729,5.09,9.27,7.63,6.17,9.09,11.51,19.83,2196799.5
20140728,4.97,9.14,7.7,6.2,9.09,11.51,19.83,2162089.0
20140725,4.89,8.95,7.22,6.11,9.09,11.51,19.83,2119517.5
20140724,4.86,8.95,7.06,6.09,9.09,11.51,19.83,2110627.5
20140723,4.79,9.19,6.94,5.99,9.09,11.51,19.83,2113141.5
20140722,4.74,9.28,7.0,6.05,9.09,11.51,19.83,2113458.0
20140721,4.76,9.22,6.95,5.91,9.09,11.51,19.83,2107357.0
20140718,4.78,9.31,7.05,6.03,9.09,11.51,19.83,2124483.5
20140717,4.76,9.18,7.11,6.09,9.09,11.51,19.83,2111243.0
20140716,4.82,9.26,7.17,5.96,9.09,11.51,19.83,2127731.0
20140715,4.72,9.44,7.03,5.8,9.09,11.51,19.83,2116584.0
20140714,4.75,9.48,6.99,5.76,9.09,11.51,19.83,2124668.0
20140711,4.73,9.27,6.94,5.72,9.09,11.51,19.83,2099809.5
20140710,4.72,9.3,6.9,5.69,9.09,11.51,19.83,2099015.0
20140709,4.75,10.01,6.99,5.59,9.09,11.51,19.83,2167188.5
20140708,4.86,10.01,7.18,5.7,9.09,11.51,19.83,2195728.5
20140707,4.8,10.13,7.24,5.6,9.09,11.51,19.83,2191870.5
20140704,4.77,10.36,7.31,5.6,9.09,11.51,19.83,2207236.0
20140703,4.77,10.45,7.24,5.6,9.09,11.51,19.83,2214412.5
20140702,4.77,10.49,7.31,5.6,9.09,11.51,19.83,2218916.5
20140701,4.83,10.0,7.36,5.58,9.09,11.51,19.83,2187360.0
20140630,4.85,9.96,7.02,5.62,9.09,11.51,19.83,2184686.0
20140627,4.81,10.01,7.02,5.61,9.09,11.51,19.83,2180598.5
20140626,4.7,9.84,6.97,5.57,9.09,11.51,19.83,2140704.0
20140625,4.66,9.39,6.93,5.43,9.09,11.51,19.83,2087271.5
20140624,4.73,9.49,6.99,5.45,9.09,11.51,19.83,2112126.5
20140623,4.7,9.73,6.84,5.44,9.09,11.51,19.83,2125230.5
20140620,4.68,9.73,6.77,5.42,9.09,11.51,19.83,2119580.5
20140619,4.66,9.75,6.74,5.44,9.09,11.51,19.83,2117447.5
20140618,4.77,10.14,6.85,5.54,9.09,11.51,19.83,2179689.0
20140617,4.93,10.04,7.0,5.56,9.09,11.51,19.83,2206374.0
20140616,5.15,10.07,7.12,5.62,9.09,11.51,19.83,2257969.5
20140613,10.33,9.73,7.13,5.6,9.09,11.51,19.83,3299210.5
20140612,10.28,9.57,7.05,5.56,9.09,11.51,19.83,3272244.5
20140611,10.28,9.82,7.08,5.63,9.09,11.51,19.83,3297197.0
20140610,10.3,9.9,7.15,5.63,9.09,11.51,19.83,3309435.0
20140609,10.27,9.53,7.16,5.56,9.09,11.51,19.83,3268010.5
20140606,10.28,9.54,7.25,5.61,9.09,11.51,19.83,3273649.0
20140605,10.13,9.21,7.34,5.65,9.09,11.51,19.83,3215318.5000000005
20140604,10.01,9.23,7.28,5.58,9.09,11.51,19.83,3189395.5
20140603,10.16,9.13,7.2,5.56,9.09,11.51,19.83,3209820.5
20140530,10.26,9.23,7.17,5.59,9.09,11.51,19.83,3240015.5
20140529,10.28,9.78,7.17,5.52,9.09,11.51,19.83,3291473.0
20140528,10.18,10.19,7.13,5.56,9.09,11.51,19.83,3308291.5
20140527,10.13,10.17,7.06,5.54,9.09,11.51,19.83,3294634.5
20140526,10.19,10.17,6.96,5.61,9.09,11.51,19.83,3307854.5
20140523,10.16,9.91,6.97,5.62,9.09,11.51,19.83,3278713.5
20140522,10.08,9.84,7.0,5.9,9.09,11.51,19.83,3264654.0
20140521,10.08,9.82,6.87,5.93,9.09,11.51,19.83,3262067.0
20140520,10.04,9.7,6.79,5.8,9.09,11.51,19.83,3238064.9999999995
20140519,10.04,9.49,6.74,5.77,9.09,11.51,19.83,3217646.5
20140516,10.24,9.73,6.86,5.86,9.09,11.51,19.83,3284870.5
20140515,10.11,9.78,6.79,5.72,9.09,11.51,19.83,3257343.0
20140514,10.31,10.01,6.91,5.78,9.09,11.51,19.83,3322768.5
20140513,10.37,10.07,7.08,5.82,9.09,11.51,19.83,3343989.5
20140512,10.2,10.17,7.14,5.87,9.09,11.51,19.83,3320064.5
20140509,9.92,9.82,6.84,5.75,9.09,11.51,19.83,3223157.0
20140508,10.0,9.96,6.73,5.67,9.09,11.51,19.83,3248466.0
20140507,10.0,10.16,6.71,5.65,9.09,11.51,19.83,3265576.0
20140506,10.03,10.43,6.85,5.69,9.09,11.51,19.83,3299065.5
20140505,10.06,10.53,6.83,5.66,9.09,11.51,19.83,3313100.5
20140430,9.99,10.46,6.83,5.58,9.09,11.51,19.83,3289921.0
20140429,9.87,10.29,6.98,5.58,9.09,11.51,19.83,3251756.4999999995
20140428,9.61,9.75,7.19,5.48,9.09,11.51,19.83,3149147.5
20140425,9.9,9.62,7.99,5.63,9.09,11.51,19.83,3212397.0
20140424,10.02,10.51,7.99,5.68,9.09,11.51,19.83,3318703.5
20140423,10.08,10.41,7.99,5.74,9.09,11.51,19.83,3323938.5
20140422,10.16,10.68,7.99,5.6,9.09,11.51,19.83,3360558.0
20140421,10.03,11.08,7.64,5.53,9.09,11.51,19.83,3362938.0
20140418,10.32,11.23,7.69,5.62,9.09,11.51,19.83,3439795.5
20140417,10.26,11.29,7.39,5.6,9.09,11.51,19.83,3428266.5
20140416,10.38,11.87,7.47,5.62,9.09,11.51,19.83,3506859.5
20140415,10.4,11.68,7.37,5.62,9.09,11.51,19.83,3492628.0
20140414,10.55,12.16,7.52,5.71,9.09,11.51,19.83,3571456.0
20140411,10.44,11.68,7.25,5.71,9.09,11.51,19.83,3502048.0
20140410,10.54,11.79,7.44,5.76,9.09,11.51,19.83,3536601.5
20140409,10.2,11.42,7.43,5.74,9.09,11.51,19.83,3432247.0
20140408,10.31,11.33,7.41,5.78,9.09,11.51,19.83,3447870.5
20140404,10.19,11.58,7.26,5.71,9.09,11.51,19.83,3441443.0
20140403,10.17,11.55,7.34,5.62,9.09,11.51,19.83,3432947.5
20140402,10.42,11.45,7.24,5.66,9.09,11.51,19.83,3475612.5
20140401,10.52,11.37,7.31,5.65,9.09,11.51,19.83,3489734.5
20140331,9.98,10.34,7.33,5.68,9.09,11.51,19.83,3286569.0
20140328,10.07,9.74,7.12,5.78,9.09,11.51,19.83,3251559.0
20140327,10.32,10.22,6.91,5.68,9.09,11.51,19.83,3340707.0
20140326,10.13,10.4,7.09,5.69,9.09,11.51,19.83,3320190.0
